,ALGO,AENO,LSST,SRNA,ELLT,AMRP,OTCS,HETT,HUXZ,DUCT,SMAH,NPCK,MSDP,EORC,CUBO,HRET,ANSO,DIHO,RTTH,SPLZ,NWIG,MMBT,MDGI,AGVF,RRES,CTGI,ALUT,ACAC,SRTX,GARI,RCRI,ACIX,CCNS,MTNS,IHOZ,NAYO,FWWG,EELT,HRND,AETS,ULXY,BLBT,BENI,ITPA,HTRK,NGTE,ILVX,FCSG,FARS,MHRM,EAFC
ALGO,0.024663682129049014,0.022204286381354098,0.022719761597596658,0.020041408383856006,0.019124999681313773,0.027815817333692053,0.023650429492945955,0.01698374160927064,0.024818015267417892,0.027098081114167057,0.023950307722280312,0.01971510816274453,0.02651068864810785,0.02325754936158707,0.020986858702451733,0.02061095501033685,0.020126566637608097,0.022299817588490707,0.029483318849064043,0.02961487286350503,0.02010475045238986,0.04146593538362034,0.02245655377346753,0.02103602667957429,0.02855888814732783,0.03217651451067081,0.01739639941800068,0.02291313889778458,0.024309674444003726,0.028555322640146645,0.039212140621352656,0.020247309447678226,0.018152583893559705,0.02292491934600321,0.02230868700194315,0.035401702210545206,0.019001572872272443,0.03869475891874344,0.023645547578747407,0.033142530933597654,0.030331100245401466,0.01596454198543781,0.0147316858427893,0.01856922021644578,0.021378612870746966,0.026878882580992917,0.02022480477436585,0.025702012086095082,0.012377180108409998,0.023896588342694484,0.026542576599543663
AENO,0.022204286381354098,0.08745801923506444,0.023659160018357155,0.02480559609512417,0.01712094909008144,0.03405378040749715,0.016091631524990543,0.01634482274551553,0.02937077092714254,0.028355338535740054,0.024459600649813708,0.0239573805789775,0.01419429338544376,0.029452517231657305,0.0280738318776343,0.025034312217939267,0.024219480361082395,0.015692765842850218,0.017514811411996255,0.016124711230910128,0.02510732466410123,0.024682003569887097,0.020605602865180095,0.022168712028512325,0.015375258665504838,0.01776060867270576,0.011021591611760771,0.031315420755486024,0.03574544977811333,0.023717566949964197,0.02176452680610588,0.014736800942530243,0.014329975879786832,0.02493663967881575,0.02827853789563732,0.010832539977520853,0.01936503255066284,0.0109886082938035,0.01395583319306855,0.029940631083394828,0.03586452830497894,0.014175692168678141,0.01585507417034404,0.014536780249057874,0.024517608476913665,0.02551170000315244,0.02232083047962772,0.02090594421885166,0.009914182618197506,0.01541968725111097,0.020174477381498735
LSST,0.022719761597596658,0.023659160018357155,0.11151986373454953,0.0270115140900285,0.013976993782087613,0.0300287824326595,0.028602177937183122,0.023159055663796158,0.03004367500960429,0.03474708727061662,0.025733725556563655,0.03062462035846853,0.01936990442048583,0.026631440336744173,0.02317694382644218,0.021713939619090492,0.020046297540152302,0.022969308236813073,0.02151302775786933,0.017605575332237562,0.016978939876285102,0.02189679496195068,0.014559947193652552,0.014257919593421797,0.013802205118998339,0.018123452522000105,0.005662150471594606,0.03400327824478024,0.029324142777426926,0.02480305749071719,0.030858551746310716,0.012934770873491722,0.011097927289440528,0.023845802360501534,0.03267138608736081,0.01155097307887652,0.014902976572829227,0.013769020204007321,0.020993465604887632,0.022589770245971173,0.02995615063314318,0.01095759295227283,0.020203211601535147,0.014763699913781481,0.023949784071869002,0.025601656354201627,0.027356239400952605,0.01790876678353992,0.009722016756827191,0.021649141000614717,0.017342523085486717
SRNA,0.020041408383856006,0.02480559609512417,0.0270115140900285,0.06200480174772477,0.012495464126709384,0.023643941290448445,0.027049661305472362,0.016871207244499996,0.02607739576627699,0.027958374813932874,0.021888566315636643,0.019013495497763228,0.022667182163937274,0.019898204481630318,0.021716410664438964,0.03094986580157816,0.020637837362779805,0.01852615466687392,0.012595793283134826,0.018668036687881775,0.017442057239762807,0.011517790911396524,0.011915917837873446,0.016984921475347886,0.012946147556054026,0.016159492115332554,0.007951482891278432,0.022784697291674948,0.021762909970716938,0.02113229583875787,0.02326641588544367,0.01644345899179019,0.017744666728487218,0.029090905873833943,0.02372240974339762,0.016955386719254197,0.016695273428729666,0.01768426122728083,0.01226592477648999,0.021704999187244816,0.03236270618023961,0.01186122183420957,0.01941064148809502,0.013976557265291185,0.020331847190957635,0.024823078278114457,0.02112375162257732,0.013492092833807501,0.012947753026472691,0.013375424327132445,0.017482690938093338
ELLT,0.019124999681313773,0.01712094909008144,0.013976993782087613,0.012495464126709384,0.0748674690372497,0.030812284243756368,0.020125712780955835,0.010669031450368113,0.014700953261483766,0.01951060155616806,0.012325825333892954,0.009615458421314714,0.022188373195051538,0.016488426561289328,0.013763684014398878,0.0075674401173973956,0.009411203239341364,0.016345826055045764,0.014559013011943931,0.019142107579538842,0.014858156995750754,0.01577196084788644,0.014970754668473677,0.021625241966431806,0.021128170550349663,0.028829140182710145,0.019539166062356193,0.020066989953369363,0.014826792471580487,0.028723061469882644,0.02930059372387286,0.01945120992452211,0.020524516225504837,0.014629358942058503,0.013036011940965753,0.024602663871423236,0.017519940186668505,0.021966871306556297,0.020131592782005787,0.030777107204210435,0.00785575228619899,0.016094634555206856,0.009306267176144791,0.019666603346707983,0.016638520895297555,0.016594604233355424,0.013977700668571413,0.025899266110316795,0.010776084837947416,0.01878735224399369,0.023792725403317352
AMRP,0.027815817333692053,0.03405378040749715,0.0300287824326595,0.023643941290448445,0.030812284243756368,0.19199999861489941,0.03450875204169945,0.016682155957845727,0.0327420808129057,0.031257060161175104,0.028828971238696224,0.02695414872543148,0.016720879272042733,0.033688212103142,0.02831004765653582,0.019893795826272515,0.032425906114657545,0.024136578741879692,0.031217370115293852,0.0273957554391486,0.024027728778852394,0.006191233633138696,0.023092140731542657,0.023594830763435496,0.014609263785840836,0.033622319766073716,0.0173606072715777,0.03409264130725829,0.030077906196614032,0.03231366286314262,0.027672950275241123,0.02058023146964369,0.01542350952495468,0.038421905817536496,0.028350223406135484,0.02094197830998803,0.01615431961630575,0.014890512478469032,0.02775451694172475,0.04326856752599909,0.02629417976071779,0.017898874475288838,0.020582555812708514,0.02193724920747018,0.026075283937676393,0.03961648582626388,0.024602886663341764,0.03147758807464888,0.00841706121876144,0.013338521683054974,0.03829138752019277
OTCS,0.023650429492945955,0.016091631524990543,0.028602177937183122,0.027049661305472362,0.020125712780955835,0.03450875204169945,0.1779919496432421,0.019646263357969422,0.024160550205406126,0.041788146129622915,0.021319634898610766,0.024271961027420002,0.01948308062933931,0.02544550736633417,0.02237595059664939,0.02322824116712596,0.01627462219736827,0.013993929995287776,-0.00017083197370276144,0.018894288664971143,0.01937781478101993,0.004514379928836564,0.012235957938396779,0.01707094658952432,0.013620381961331083,0.03231354894860716,0.017704059264981694,0.017147765191106765,0.023883521519254183,0.02483552671172516,0.015786232781777706,0.009418539354560225,0.018634392120759596,0.03275363597057461,0.024489615360475912,0.017177278194309132,0.008829654812552443,0.017904433314594976,0.009077854643953486,0.020420787729237486,0.027797944476592337,0.008879131133518016,0.017792345061042603,0.012420073661111279,0.02559760271084598,0.027343336670256745,0.021396658390115588,0.013389668867250366,0.0007000631485945662,0.016971115700545682,0.011151903912890148
HETT,0.01698374160927064,0.01634482274551553,0.023159055663796158,0.016871207244499996,0.010669031450368113,0.016682155957845727,0.019646263357969422,0.0547806534221142,0.01664704309459716,0.01625591733027507,0.016437454711345997,0.017401383321841195,0.0178208858039693,0.01849039383731994,0.019222204058116775,0.01674869029839955,0.014999661917639249,0.015824052646816664,0.012041730558199378,0.014719259850865642,0.013110854514892321,0.021395095680808763,0.014584361254720608,0.012792378433574716,0.013529517072809,0.01935847395095677,0.009832673665740248,0.023276301582389372,0.021306179665508726,0.022813727765461648,0.02050833184690864,0.01178758005498286,0.012874679321664296,0.019232403092248322,0.017822552940896495,0.019928486886743018,0.011482415505940187,0.01635591899724134,0.012455501745180658,0.016205406388849115,0.016872515313984374,0.008152663202354972,0.015161881307486802,0.008747606531644038,0.016527302260916,0.023524675707876256,0.01849465900086136,0.012872954418465374,0.008555257324438037,0.008192719115053267,0.010540296894339135
HUXZ,0.024818015267417892,0.02937077092714254,0.03004367500960429,0.02607739576627699,0.014700953261483766,0.0327420808129057,0.024160550205406126,0.01664704309459716,0.11439540326447672,0.027629378030575892,0.02931911113391174,0.02003581021369082,0.023628980964682376,0.022530688824458665,0.028220772521316415,0.027757140763741077,0.020482889551898142,0.017261357016670486,0.0151394259724456,0.023193159683134828,0.024603613494115925,0.03483396549457222,0.018894017405240625,0.016377169944328272,0.015534733749031054,0.03273408436503852,0.0166571650927793,0.026483050645540542,0.030582075474899467,0.03354597810283153,0.030172712177175445,0.014770121345235747,0.017273954758097145,0.02810907060060262,0.028020610244467968,0.013971329858580453,0.017807333606340136,0.026573151302632585,0.012907501150381537,0.017194345546429724,0.032712307587406037,0.015138790867155133,0.017610538235567026,0.019263177207903298,0.029025943154457914,0.023330842130335906,0.02677626310891458,0.024425276915475542,0.012551948154540447,0.019949529137991282,0.025653423941120777
DUCT,0.027098081114167057,0.028355338535740054,0.03474708727061662,0.027958374813932874,0.01951060155616806,0.031257060161175104,0.041788146129622915,0.01625591733027507,0.027629378030575892,0.10935811398266884,0.0373468727637743,0.025358081019288676,0.029672479534037177,0.03170671832032073,0.024262787387615708,0.0307407652982449,0.024898056475447815,0.021002775703932376,0.013751483459385016,0.027444834056610523,0.026387357950013117,0.02568638785093555,0.012648937767437793,0.02051200975129673,0.01598705769918069,0.02236093470313858,0.018183950765367798,0.025381696246068734,0.02721005507366667,0.028864470664324397,0.03240349390017593,0.02126926055596716,0.022576759937603212,0.03096503238400572,0.03202688665736561,0.027457258113815233,0.024621333463482352,0.019921014145445913,0.011678147154481231,0.03940382735059607,0.0384827318669087,0.01721582336405125,0.022630470351761328,0.02009230210476163,0.02461268330009233,0.0408997040913897,0.02832895698370043,0.02429406047412932,0.01237042680153271,0.02711063518100088,0.029528683630462123
