strategy,score,mean,std,sharpe,early,fold_median,fold_min,positive_folds,window_median,window_min,last200,last150,last100,cost10,config
candidate,597.6511663673517,613.8239738135997,1596.5505473627973,6.07898648393197,392.9237118420221,564.5544277101595,127.18706320128456,8,492.1864049989188,206.42349118113327,552.0215007167195,576.9046648008282,715.7692166476228,221.97246252713856,"Config(alpha_beta_shrinkage=0.25, ramp_start=200, ramp_end=300, significance_se=1.0, reversal_weight=0.2, long_reversal_weight=0.075, hysteresis=0.3, hedge_beta_window=120, hedge_fraction=1.0)"
shrink_0.15,551.2301766993851,568.1429899175998,1573.5084908870972,5.708980584479753,381.63350082351326,473.12499177445454,127.18706320128456,8,458.77566286120526,196.87476390714485,506.32680459030524,539.0201987225381,636.0257074677435,175.3267610377919,"Config(alpha_beta_shrinkage=0.15, ramp_start=200, ramp_end=300, significance_se=1.0, reversal_weight=0.2, long_reversal_weight=0.075, hysteresis=0.3, hedge_beta_window=120, hedge_fraction=1.0)"
shrink_0.2,549.256096599272,566.6797527511998,1595.8420445223069,5.614586759215476,387.86939280554736,517.8409248145,127.18706320128456,8,459.083946644485,200.70427969729752,499.79023725434814,541.2667494466584,666.8701884259581,171.72219889471572,"Config(alpha_beta_shrinkage=0.2, ramp_start=200, ramp_end=300, significance_se=1.0, reversal_weight=0.2, long_reversal_weight=0.075, hysteresis=0.3, hedge_beta_window=120, hedge_fraction=1.0)"
shrink_0.225,572.512442029975,589.5095437519997,1606.0380002319553,5.803700972186718,386.9976902316548,536.6611737520113,127.18706320128456,8,468.7121092782276,200.14045377862172,520.2113001045643,563.6568953896,705.7917189167814,196.3565540054467,"Config(alpha_beta_shrinkage=0.225, ramp_start=200, ramp_end=300, significance_se=1.0, reversal_weight=0.2, long_reversal_weight=0.075, hysteresis=0.3, hedge_beta_window=120, hedge_fraction=1.0)"
shrink_0.25,597.6511663673517,613.8239738135997,1596.5505473627973,6.07898648393197,392.9237118420221,564.5544277101595,127.18706320128456,8,492.1864049989188,206.42349118113327,552.0215007167195,576.9046648008282,715.7692166476228,221.97246252713856,"Config(alpha_beta_shrinkage=0.25, ramp_start=200, ramp_end=300, significance_se=1.0, reversal_weight=0.2, long_reversal_weight=0.075, hysteresis=0.3, hedge_beta_window=120, hedge_fraction=1.0)"
shrink_0.275,603.3581903291517,619.3462998543997,1594.0961129316722,6.14312070661659,383.67078840896926,584.6044701090576,127.18706320128456,8,488.5938136282345,200.72132684527426,560.5937748134621,581.7492384075266,718.3569437583678,228.55368082031865,"Config(alpha_beta_shrinkage=0.275, ramp_start=200, ramp_end=300, significance_se=1.0, reversal_weight=0.2, long_reversal_weight=0.075, hysteresis=0.3, hedge_beta_window=120, hedge_fraction=1.0)"
shrink_0.3,574.0485750579265,590.3803895823997,1574.5078330319548,5.928667605872868,379.9712208159878,555.7645883206053,127.18706320128456,8,463.4700239174354,198.48994581413086,537.546260288915,570.8340175447562,719.3565992586487,197.20679813872405,"Config(alpha_beta_shrinkage=0.3, ramp_start=200, ramp_end=300, significance_se=1.0, reversal_weight=0.2, long_reversal_weight=0.075, hysteresis=0.3, hedge_beta_window=120, hedge_fraction=1.0)"
shrink_0.35,562.9372023224969,579.3115593959998,1562.1917928328583,5.8633773745324,375.51707089052627,496.65500319379726,127.18706320128456,8,466.8069947268588,196.95583256025589,547.150237723031,544.6634297955648,654.1174129878008,185.3792769973819,"Config(alpha_beta_shrinkage=0.35, ramp_start=200, ramp_end=300, significance_se=1.0, reversal_weight=0.2, long_reversal_weight=0.075, hysteresis=0.3, hedge_beta_window=120, hedge_fraction=1.0)"
ramp_150_280,566.5466486955846,583.5146808095996,1596.6866445997393,5.778326779851806,358.86050027371704,522.3712537988645,127.18706320128456,8,442.01243206065834,186.35493062909333,552.0215007167195,576.9046648008282,715.7692166476228,188.3073164589309,"Config(alpha_beta_shrinkage=0.25, ramp_start=150, ramp_end=280, significance_se=1.0, reversal_weight=0.2, long_reversal_weight=0.075, hysteresis=0.3, hedge_beta_window=120, hedge_fraction=1.0)"
ramp_150_300,587.871133984338,604.3686057623997,1600.8090472643505,5.969423223137067,367.27285266647186,564.5544277101595,127.18706320128456,8,468.51545497013916,191.60657984797209,552.0215007167195,576.9046648008282,715.7692166476228,211.17908101728344,"Config(alpha_beta_shrinkage=0.25, ramp_start=150, ramp_end=300, significance_se=1.0, reversal_weight=0.2, long_reversal_weight=0.075, hysteresis=0.3, hedge_beta_window=120, hedge_fraction=1.0)"
ramp_150_320,594.6866840916491,611.0716749319996,1603.7665534937476,6.02449995664743,353.76825088686263,571.9811125263436,127.18706320128456,8,466.1767757341955,181.90956500008355,548.3779805106466,576.9046648008282,715.7692166476228,219.11444183726135,"Config(alpha_beta_shrinkage=0.25, ramp_start=150, ramp_end=320, significance_se=1.0, reversal_weight=0.2, long_reversal_weight=0.075, hysteresis=0.3, hedge_beta_window=120, hedge_fraction=1.0)"
ramp_150_350,589.466889400776,605.8080617359997,1594.8393769667828,6.006038374915165,343.31179097897467,535.1615722618942,127.18706320128456,8,454.70244565638126,175.61052450375612,543.9493008850724,576.9046648008282,715.7692166476228,214.7598435935103,"Config(alpha_beta_shrinkage=0.25, ramp_start=150, ramp_end=350, significance_se=1.0, reversal_weight=0.2, long_reversal_weight=0.075, hysteresis=0.3, hedge_beta_window=120, hedge_fraction=1.0)"
ramp_180_280,566.7503148553749,583.7091888239996,1596.5008559960895,5.780925581469471,358.1858985220622,522.8851048671987,127.18706320128456,8,441.7792567152474,186.0617297889822,552.0215007167195,576.9046648008282,715.7692166476228,188.34640614946096,"Config(alpha_beta_shrinkage=0.25, ramp_start=180, ramp_end=280, significance_se=1.0, reversal_weight=0.2, long_reversal_weight=0.075, hysteresis=0.3, hedge_beta_window=120, hedge_fraction=1.0)"
