strategy,official_score,official_mean,official_std,early_score,fold_median,fold_min,positive_folds,cost_10x_score,volume
leadlag_r0.00_h0.00,475.270292236746,494.3480816199995,1566.0172735597205,193.66257012164843,365.5667045548463,159.68915223190785,8,78.59612918679719,102151095.95
leadlag_r0.00_h0.25,470.8216349650279,489.4963306951995,1541.409412623018,192.21797972727845,346.43668557876083,173.18525064345678,8,72.06069678776313,104945982.51
leadlag_r0.00_h0.50,466.1814898159299,484.6366088175995,1524.6393823426042,190.54202814618804,326.96702462982626,186.53120212625728,8,65.28275930270117,107751005.98000003
leadlag_r0.00_h0.75,461.3553696676045,479.77953031919947,1515.9601507522184,188.51933912511552,307.1435754467593,160.68949488515878,8,58.3215194526533,110554987.21
leadlag_r0.00_h1.00,457.2853682279038,475.8277937159995,1514.988823689614,186.19663188867244,307.6649504304968,119.47515576435418,8,52.263515074115745,113242694.74999994
leadlag_r0.10_h0.00,453.38241554317204,473.6514637399997,1583.4823603442844,246.45760445826974,342.17991694096565,158.30182069539862,8,59.12105770939068,101277240.64999998
leadlag_r0.10_h0.25,447.58067743795215,467.42595078239975,1556.2368774233755,239.24238107151953,339.49969689195734,130.41979769448645,8,51.62463639314419,104015652.61999999
leadlag_r0.10_h0.50,441.5200481592874,461.1308733175997,1536.6215648654986,231.83840545232962,336.41207302678663,102.29122086233116,8,44.01796471352774,106765620.92999998
leadlag_r0.10_h0.75,435.6350175750419,455.19384620799974,1525.0230790096546,223.69653153174474,333.91004329675314,74.10109488585184,8,36.82990994651309,109504959.8
leadlag_r0.10_h1.00,431.785763564551,451.3903040319998,1520.780041630203,217.18230605644595,332.15338223107995,48.46813554047869,8,31.754129889057335,112185237.00000001
leadlag_r0.15_h0.00,507.49529438633846,526.4996565479997,1610.9376648001025,331.2300301105578,418.94539087099224,139.93245003351862,8,122.08462679632486,99735958.63
leadlag_r0.15_h0.25,502.78549479335504,521.3760711407997,1585.1711385815556,331.55074464754927,423.3963075947581,133.70335971823297,8,115.16191915877212,102494276.22000001
leadlag_r0.15_h0.50,497.8125797522141,516.1693496583997,1567.2107982560985,331.63416279224367,427.46815441607987,126.94607210566996,8,107.82594820294041,105264794.75000001
leadlag_r0.15_h0.75,493.0345555772925,511.33132134639976,1557.47428568111,331.5207252522487,432.19852711439614,119.93061743214257,8,100.59565817022315,108023148.65000004
leadlag_r0.15_h1.00,489.9188175258266,508.25377915119975,1554.635437628504,333.2008795564209,441.2650038156198,111.82109368086617,8,95.15297166831526,110683426.09000006
leadlag_r0.20_h0.00,540.4685794847862,559.3786481239998,1654.387410223398,342.64685918046507,420.0585064072163,123.69612017491305,8,167.53504976012,97209279.69000007
leadlag_r0.20_h0.25,532.1662874858853,550.8573004791998,1632.3070417213485,348.38804626469835,421.80254067570934,121.77127614572889,8,156.6685953520629,99965125.25
leadlag_r0.20_h0.50,523.5813337169363,542.2130584807999,1617.2398330293672,353.94451929856257,423.27108481657297,119.64282871731324,8,145.3509341276997,102733150.22999997
leadlag_r0.20_h0.75,514.8897515955491,533.6281353063999,1609.598890160925,359.34314491710114,424.57797135920106,117.22872441109067,8,133.7826417587213,105499689.91000001
leadlag_r0.20_h1.00,507.4164954566743,526.3769808000001,1608.8269302978863,364.81458510691186,430.23149888862383,116.19558120726877,8,123.46197573081375,108227621.24000002
leadlag_r0.25_h0.00,498.0928149743378,518.5576004519996,1661.940487767671,283.07360136960943,398.46139129155904,14.116580975916783,8,136.67795523171142,93428298.86999996
leadlag_r0.25_h0.25,494.02286663815977,514.1021399855997,1638.7770989373262,285.30552870627906,394.4962336852297,11.83482965808939,8,130.64788889480096,95873054.69999997
leadlag_r0.25_h0.50,489.7387996077651,509.5864229767996,1622.03362018388,287.33185415221516,390.30754430183015,9.647526563662302,8,124.27757515298786,98330017.30999985
leadlag_r0.25_h0.75,485.2427230649653,505.0180770199996,1611.979614849655,289.181271529375,385.97814933611005,7.651323370705254,8,117.57742306527227,100787341.76999995
leadlag_r0.25_h1.00,480.6504888935764,500.51358190799965,1608.7724308855256,290.94290041820614,382.531753895414,6.3854193694188774,8,110.67864951465013,103244530.67
blend_PCA2_0.10,541.2849580535225,558.2391752719998,1562.1265260819432,307.0385192446535,415.5635405235536,99.07023716400151,8,172.6237875450337,96543761.82
blend_PCA2_0.20,541.6558471292528,557.0328613399998,1483.969964251305,270.62574455298807,410.8351211533885,74.51895621055765,8,175.43054153926738,96275346.64999993
blend_PCA2_0.30,541.4097470731297,555.6096736799998,1422.7212482209402,234.38384761213777,419.649611318362,50.65278018629702,8,177.25755322451536,96017315.8
blend_PCA2_0.50,540.0638090664754,553.1028957119998,1358.8671019975861,156.90778713443694,430.58544991389874,9.998966454857724,8,179.0408601757533,95485860.72000001
