strategy,official_score,official_mean,official_std,official_sharpe,early_score,fold_median,fold_min,positive_folds,window_median,window_min,frozen_score,cost_10x_score,volume,config
baseline,507.42320734851864,526.3832844256,1608.8182351324358,5.173269623240277,364.81458510691186,430.23149888862383,116.19558120726877,8,422.4541340569365,326.05576875038946,290.57140743082743,123.46925434944993,108227825.92000002,"{'lag_weights': ((1, 1.0),), 'significance_se': 1.0, 'reversal_weight': 0.2, 'reversal_lookback': 20, 'reversal_mode': 'linear', 'hysteresis': 0.3, 'hedge_fraction': 1.0, 'hedge_beta_window': 0, 'hedge_beta_shrinkage': 0.0, 'cross_sectional_demean': False, 'soft_threshold': False, 'recent_window': 0, 'recent_weight': 0.0, 'consensus_window': 0, 'split_consensus': False, 'incoming_edges': 0, 'asymmetry_mode': 'none', 'svd_rank': 0, 'column_normalization': 'none', 'top_k': 50, 'long_reversal_lookback': 0, 'long_reversal_weight': 0.0, 'freeze_at': 0}"
hedge_0.800,513.1228834753733,531.9027300951999,1608.9314933817914,5.227146487223013,360.3541566055736,424.80608939068327,116.70657104224651,8,420.6779278114239,325.8123492293536,280.57649534620816,131.42389989267133,106052255.04999997,"{'lag_weights': ((1, 1.0),), 'significance_se': 1.0, 'reversal_weight': 0.2, 'reversal_lookback': 20, 'reversal_mode': 'linear', 'hysteresis': 0.3, 'hedge_fraction': 0.8, 'hedge_beta_window': 0, 'hedge_beta_shrinkage': 0.0, 'cross_sectional_demean': False, 'soft_threshold': False, 'recent_window': 0, 'recent_weight': 0.0, 'consensus_window': 0, 'split_consensus': False, 'incoming_edges': 0, 'asymmetry_mode': 'none', 'svd_rank': 0, 'column_normalization': 'none', 'top_k': 50, 'long_reversal_lookback': 0, 'long_reversal_weight': 0.0, 'freeze_at': 0}"
hedge_0.850,511.4996983883429,530.3228316399999,1608.5464132197887,5.212868057116056,361.41089135566824,425.43476152177374,116.30586523477558,8,420.8588944907097,325.86128382770084,283.3364538091623,129.21922642941925,106602485.74000005,"{'lag_weights': ((1, 1.0),), 'significance_se': 1.0, 'reversal_weight': 0.2, 'reversal_lookback': 20, 'reversal_mode': 'linear', 'hysteresis': 0.3, 'hedge_fraction': 0.85, 'hedge_beta_window': 0, 'hedge_beta_shrinkage': 0.0, 'cross_sectional_demean': False, 'soft_threshold': False, 'recent_window': 0, 'recent_weight': 0.0, 'consensus_window': 0, 'split_consensus': False, 'incoming_edges': 0, 'asymmetry_mode': 'none', 'svd_rank': 0, 'column_normalization': 'none', 'top_k': 50, 'long_reversal_lookback': 0, 'long_reversal_weight': 0.0, 'freeze_at': 0}"
hedge_0.875,510.8263024203705,529.668592832,1608.4384530663033,5.2067866047729,361.98126576653385,426.2637191999286,116.32734981002555,8,421.1239489972336,325.87187687566563,284.51318799683855,128.26891358234616,106874470.83999997,"{'lag_weights': ((1, 1.0),), 'significance_se': 1.0, 'reversal_weight': 0.2, 'reversal_lookback': 20, 'reversal_mode': 'linear', 'hysteresis': 0.3, 'hedge_fraction': 0.875, 'hedge_beta_window': 0, 'hedge_beta_shrinkage': 0.0, 'cross_sectional_demean': False, 'soft_threshold': False, 'recent_window': 0, 'recent_weight': 0.0, 'consensus_window': 0, 'split_consensus': False, 'incoming_edges': 0, 'asymmetry_mode': 'none', 'svd_rank': 0, 'column_normalization': 'none', 'top_k': 50, 'long_reversal_lookback': 0, 'long_reversal_weight': 0.0, 'freeze_at': 0}"
hedge_0.900,510.1513487658807,529.0141427568,1608.3878297583956,5.200516861049142,362.5196165282603,427.05738546223716,116.30088361977516,8,421.3742632440697,325.9145135495087,285.7625666260129,127.31701464023025,107145096.78000003,"{'lag_weights': ((1, 1.0),), 'significance_se': 1.0, 'reversal_weight': 0.2, 'reversal_lookback': 20, 'reversal_mode': 'linear', 'hysteresis': 0.3, 'hedge_fraction': 0.9, 'hedge_beta_window': 0, 'hedge_beta_shrinkage': 0.0, 'cross_sectional_demean': False, 'soft_threshold': False, 'recent_window': 0, 'recent_weight': 0.0, 'consensus_window': 0, 'split_consensus': False, 'incoming_edges': 0, 'asymmetry_mode': 'none', 'svd_rank': 0, 'column_normalization': 'none', 'top_k': 50, 'long_reversal_lookback': 0, 'long_reversal_weight': 0.0, 'freeze_at': 0}"
hedge_0.950,508.81385430110464,527.7210870296,1608.4552168786854,5.18758802483757,363.6486198167545,428.7033943295687,116.19857000569523,8,421.93701507821675,325.99115000296524,288.14710230077344,125.42475228818226,107685793.36999999,"{'lag_weights': ((1, 1.0),), 'significance_se': 1.0, 'reversal_weight': 0.2, 'reversal_lookback': 20, 'reversal_mode': 'linear', 'hysteresis': 0.3, 'hedge_fraction': 0.95, 'hedge_beta_window': 0, 'hedge_beta_shrinkage': 0.0, 'cross_sectional_demean': False, 'soft_threshold': False, 'recent_window': 0, 'recent_weight': 0.0, 'consensus_window': 0, 'split_consensus': False, 'incoming_edges': 0, 'asymmetry_mode': 'none', 'svd_rank': 0, 'column_normalization': 'none', 'top_k': 50, 'long_reversal_lookback': 0, 'long_reversal_weight': 0.0, 'freeze_at': 0}"
long60_0.05,516.0062936706116,535.1735974127998,1630.8638157996754,5.188561715009325,376.16276421748444,449.92826610005557,99.64055208018846,8,434.5034031467687,337.07158660235234,283.8281683653942,132.88362227705085,108060058.69999996,"{'lag_weights': ((1, 1.0),), 'significance_se': 1.0, 'reversal_weight': 0.2, 'reversal_lookback': 20, 'reversal_mode': 'linear', 'hysteresis': 0.3, 'hedge_fraction': 1.0, 'hedge_beta_window': 0, 'hedge_beta_shrinkage': 0.0, 'cross_sectional_demean': False, 'soft_threshold': False, 'recent_window': 0, 'recent_weight': 0.0, 'consensus_window': 0, 'split_consensus': False, 'incoming_edges': 0, 'asymmetry_mode': 'none', 'svd_rank': 0, 'column_normalization': 'none', 'top_k': 50, 'long_reversal_lookback': 60, 'long_reversal_weight': 0.05, 'freeze_at': 0}"
long60_0.10,518.0800138019413,537.4081174872,1641.2337173261503,5.1773055427218,373.4805745144332,448.8524476310431,87.55687337932555,8,438.45307771303527,338.05691101715666,276.79006656945444,135.59006528984028,107804457.44999996,"{'lag_weights': ((1, 1.0),), 'significance_se': 1.0, 'reversal_weight': 0.2, 'reversal_lookback': 20, 'reversal_mode': 'linear', 'hysteresis': 0.3, 'hedge_fraction': 1.0, 'hedge_beta_window': 0, 'hedge_beta_shrinkage': 0.0, 'cross_sectional_demean': False, 'soft_threshold': False, 'recent_window': 0, 'recent_weight': 0.0, 'consensus_window': 0, 'split_consensus': False, 'incoming_edges': 0, 'asymmetry_mode': 'none', 'svd_rank': 0, 'column_normalization': 'none', 'top_k': 50, 'long_reversal_lookback': 60, 'long_reversal_weight': 0.1, 'freeze_at': 0}"
long60_0.15,510.66629657492905,530.1471944143998,1637.202345934197,5.119931063075145,354.4717543205592,428.23910466152495,60.10910267266737,8,435.19210257918206,343.8136679695061,293.4114730608152,127.79296884321766,107886124.58000004,"{'lag_weights': ((1, 1.0),), 'significance_se': 1.0, 'reversal_weight': 0.2, 'reversal_lookback': 20, 'reversal_mode': 'linear', 'hysteresis': 0.3, 'hedge_fraction': 1.0, 'hedge_beta_window': 0, 'hedge_beta_shrinkage': 0.0, 'cross_sectional_demean': False, 'soft_threshold': False, 'recent_window': 0, 'recent_weight': 0.0, 'consensus_window': 0, 'split_consensus': False, 'incoming_edges': 0, 'asymmetry_mode': 'none', 'svd_rank': 0, 'column_normalization': 'none', 'top_k': 50, 'long_reversal_lookback': 60, 'long_reversal_weight': 0.15, 'freeze_at': 0}"
long60_0.20,516.6310884243981,535.9222565911999,1637.4226480280902,5.175007752721349,347.67648829682867,447.24465669671366,51.20221461664466,8,423.39319153790336,326.3489495196085,307.4708663879824,134.01871195998478,107886761.13000005,"{'lag_weights': ((1, 1.0),), 'significance_se': 1.0, 'reversal_weight': 0.2, 'reversal_lookback': 20, 'reversal_mode': 'linear', 'hysteresis': 0.3, 'hedge_fraction': 1.0, 'hedge_beta_window': 0, 'hedge_beta_shrinkage': 0.0, 'cross_sectional_demean': False, 'soft_threshold': False, 'recent_window': 0, 'recent_weight': 0.0, 'consensus_window': 0, 'split_consensus': False, 'incoming_edges': 0, 'asymmetry_mode': 'none', 'svd_rank': 0, 'column_normalization': 'none', 'top_k': 50, 'long_reversal_lookback': 60, 'long_reversal_weight': 0.2, 'freeze_at': 0}"
