variant,official_score,official_mean,official_std,early_score,fold_median,fold_min,positive_folds,volume
selected,507.4164954566743,526.3769808000001,1608.8269302978863,364.81458510691186,430.23149888862383,116.19558120726877,8,108227621.24000002
pure_leadlag,457.2853682279038,475.8277937159995,1514.988823689614,186.19663188867244,307.6649504304968,119.47515576435418,8,113242694.74999994
reversal_0.10,431.785763564551,451.3903040319998,1520.780041630203,217.18230605644595,332.15338223107995,48.46813554047869,8,112185237.00000001
reversal_0.15,489.9188175258266,508.25377915119975,1554.635437628504,333.2008795564209,441.2650038156198,111.82109368086617,8,110683426.09000006
reversal_0.25,480.6504888935764,500.51358190799965,1608.7724308855256,290.94290041820614,382.531753895414,6.3854193694188774,8,103244530.67
threshold_0,412.4891762544616,436.8253269303993,1677.6350042596955,152.51799343671445,248.54351080775925,-154.74825838799924,7,108911416.77000006
threshold_0.5,436.75806811334036,459.1846372359994,1645.1985017634129,123.81995515339317,308.1811828654498,-108.95011925199896,7,108711677.47
threshold_1.5,389.3032065461211,410.6918968055996,1522.0686594616006,52.05589693818254,255.67259279364524,-24.838968583999574,7,105020859.65000005
threshold_2,143.52254318629267,186.224519012,1606.0933727390475,185.66256067196844,199.44234795263094,-233.10945692000024,7,101294195.10999998
no_hysteresis,374.3415333914549,398.9248816639994,1616.3955221133149,202.93467417465217,296.56617596717194,-85.60175017200073,7,132484882.5199999
hysteresis_0.15,420.60438698110755,443.24691567199966,1626.0776884889465,234.41257643810602,308.24852036121314,-28.177923464000557,7,119847249.34000002
hysteresis_0.45,447.6078218539388,467.5926736607995,1562.2097169686108,144.12282979021444,286.2180869545571,-12.000257567999856,7,96535922.96000001
tanh_sizing,410.8044589112395,422.0497301264,1104.0812230650442,250.07789206624048,337.88131064893537,98.62796786119951,8,89884084.9
rank_sizing,413.97199811107146,425.5393273784,1124.7105615158825,253.84190866669613,359.641561799785,71.79489589152868,8,91493431.13000003
rolling_120,286.8120565457564,313.4601721784002,1510.7302399225998,250.33375614497822,263.2445571203135,83.91903118381462,8,108003930.85
rolling_200,355.1746940786826,377.52462145039954,1497.381060404345,322.79656400233387,310.5992963079252,43.3879081131145,8,106104286.14999999
rolling_250,404.5989381149193,425.8708990359998,1543.9717961582135,364.81458510691186,379.05826851181143,116.19558120726877,8,106022413.92999993
rolling_350,457.4210551973242,476.3812484519999,1533.5147822096346,364.81458510691186,405.8319726272473,116.19558120726877,8,108351121.82999998
no_ALGO_hedge,540.4685794847862,559.3786481239998,1654.387410223398,342.64685918046507,420.0585064072163,123.69612017491305,8,97209279.69000007
half_ALGO_hedge,523.5813337169363,542.2130584807999,1617.2398330293672,353.94451929856257,423.27108481657297,119.64282871731324,8,102733150.22999997
