strategy,official_score,official_mean,official_std,official_sharpe,early_score,fold_median,fold_min,positive_folds,window_median,window_min,cost_10x_score,volume
Challenger_530,530.8956845322679,549.7562732743999,1638.3746634754432,5.305508014342882,381.5965582276204,438.2410975097712,127.18706320128456,8,449.4888869325639,360.5270965021489,149.72801435196,107585376.74999996
beta_w40_s0.5,525.371595329019,544.3959639615999,1637.972979132226,5.255065917001999,393.1952272860386,435.81891420571304,146.1981563366847,8,453.2098389107373,357.94305544405336,143.75977915917298,107553743.16
beta_w40_s0.75,527.4728026976665,546.5368759935999,1642.8476394748266,5.260078025145616,392.2379413987117,432.6487598017637,155.41556591875738,8,455.28039257332927,361.29016667327824,145.67298255716875,107903342.76000005
beta_w40_s1.0,530.3277578617387,549.4758998975998,1650.858286002719,5.262702976323901,387.32323563352224,430.8783682812232,161.78415796347787,8,455.0874522654074,363.52405510756216,148.12120856948644,108542543.95999998
beta_w60_s0.5,525.4434788408922,544.3549951736,1632.872931373675,5.271082664682273,391.78486716432536,437.92249815448315,126.74632785524217,8,447.81860846091905,357.273162600194,144.04015093629934,107412353.01000006
beta_w60_s0.75,527.9534901073253,546.7975519511999,1633.3753369994038,5.293105766940662,391.22230273542493,436.7807320774641,130.84068351206585,8,447.95537705967973,360.79207066591067,146.61443810887613,107590393.29000005
beta_w60_s1.0,531.0226501846702,549.8270060079999,1635.9453026104104,5.314070266536364,386.6508844555712,437.71894508863636,127.45875890334753,8,446.0160358041655,361.8552808714269,149.64684132575778,107910717.57999992
beta_w90_s0.5,519.5154853868581,538.6492660416,1634.471015864439,5.210733393667961,387.9071127608107,432.6462955246119,119.48035175896626,8,445.67431907183186,353.76347183551945,137.53332223397857,107453467.16000007
beta_w90_s0.75,519.0471197713324,538.2174494768,1635.457175513105,5.203416641769626,385.50664238739756,428.9884537796281,120.65922029693441,8,444.9708068549735,355.68417703498574,136.99448213566524,107465174.22000003
beta_w90_s1.0,518.6149100044386,537.8718292951999,1638.7764306996492,5.189542752600911,383.48148161782854,426.3448350457779,120.62476231530626,8,444.47797380923157,357.3845513554544,136.35486537465576,107603926.49000001
beta_w120_s0.5,525.2952256111821,544.241303608,1634.2535469065244,5.26552969518791,387.2450337314522,437.9041081523552,121.30795720108055,8,447.99139209324505,355.39473506761954,143.82255967444166,107452997.58000007
beta_w120_s0.75,528.1649693830524,547.0394143967999,1635.0872103887891,5.289902912784882,384.51333238619435,437.98953026587776,123.17121507380885,8,448.89162262476776,358.1503693910061,146.9169682576852,107463612.72000001
beta_w120_s1.0,530.8956845322679,549.7562732743999,1638.3746634754432,5.305508014342882,381.5965582276204,438.2410975097712,127.18706320128456,8,449.4888869325639,360.5270965021489,149.72801435196,107585376.74999996
beta_w180_s0.5,521.1723998386532,540.2252336911998,1633.179636878803,5.230111095512324,386.87231502614355,434.7953820991616,122.8534823642639,8,445.51431473782634,353.1391193447168,139.27066971122403,107554871.53999999
beta_w180_s0.75,521.9584404547753,540.9865873559997,1633.1902837090092,5.237447885623771,384.3115360113899,433.03818389493813,125.05033656242018,8,445.2602537545529,354.99223129687346,140.0756541688344,107610450.73000003
beta_w180_s1.0,522.4017373044064,541.4652073111997,1635.457381800075,5.234814883876813,381.2798552283742,431.3983833924472,130.03083220167855,8,444.43281290224735,356.0631246860175,140.36240292213427,107796701.29000004
beta_w250_s0.5,521.3946429201341,540.4385104311999,1633.091754277031,5.232457465281367,386.99614431384975,438.61762503133053,122.8534823642639,8,446.96020523300507,353.11812311387945,139.4873154565935,107579412.29000004
