,net_pnl_contribution,fraction_of_total
SRNA,-4346.3824270000005,-0.059417108379731555
NPCK,-3665.0448170000045,-0.05010290023157749
RRES,-3634.1074139999973,-0.04967997126526754
AETS,-3583.2406160000064,-0.04898459802086081
NGTE,-3218.0083090000007,-0.043991699228984965
EORC,-3033.5130470000045,-0.041469561528974255
OTCS,-2140.479757999994,-0.029261373084809594
HETT,-1947.6706830000005,-0.026625581619543207
ILVX,-1763.7971870000035,-0.02411194375552928
ACIX,-1708.6831700000064,-0.023358509013802813
FARS,-1418.1452200000047,-0.019386717494414927
IHOZ,-1310.854399,-0.01792000110519287
ACAC,-1192.0220480000035,-0.016295506529077398
AGVF,-668.8920080000008,-0.009144070868403662
SRTX,-438.8910400000008,-0.005999848593298471
HRND,-139.92763399999384,-0.0019128770959152977
HTRK,-60.26279799999635,-0.0008238210190130729
DIHO,-10.781575999998068,-0.0001473892554223227
ELLT,274.3843720000057,0.003750964449780783
AENO,485.69469300000316,0.00663967671923445
ANSO,632.2507240000024,0.008643167144636506
NWIG,644.6312930000045,0.008812415392445113
CTGI,749.5401370000043,0.010246569026791275
GARI,898.610018999997,0.012284424987170013
FCSG,943.901512000001,0.012903581168996968
LSST,968.1408080000023,0.013234943837070922
HUXZ,1201.2150510000001,0.016421179238453553
AMRP,1234.3671399999962,0.016874384012357187
SPLZ,1458.6914110000018,0.019941003148172962
FWWG,1789.929968999995,0.024469191274917288
MHRM,1990.3940580000008,0.02720963041077557
BLBT,2081.1083399999984,0.028449737652996247
ITPA,2161.7237939999964,0.029551789128642696
RCRI,2184.322971000001,0.029860730592412794
EELT,2252.4759510000067,0.030792414140069935
CUBO,2642.0859870000045,0.03611856804476015
BENI,2785.2918169999894,0.038076259634175026
CCNS,2806.7738119999913,0.038369928690353536
SMAH,3649.2742289999974,0.04988730881684428
MTNS,3884.168137000002,0.053098419901472946
MMBT,4006.9606479999984,0.05477705174228454
NAYO,4081.2487579999897,0.05579260542568224
DUCT,4096.441836999997,0.056000302018590735
HRET,4148.978163999999,0.05671849851594469
EAFC,4236.047559000005,0.05790877842484903
MDGI,4920.3198560000055,0.0672631051356166
ULXY,5314.166890999996,0.07264718082538112
ALUT,5553.689328000004,0.07592156609580704
RTTH,6475.432745999999,0.08852223561475958
MSDP,6924.07927399999,0.09465544635405602
ALGO,19954.715440600034,0.27279042052431773
