strategy,score,mean,std,sharpe,early,fold_median,fold_min,positive_folds,window_median,window_min,last100,cost10,config
challenger_equivalent,530.8956845322679,549.7562732743999,1638.3746634754432,5.305508014342882,381.5965582276204,438.2410975097712,127.18706320128456,8,428.69904205580866,196.5755886228959,651.7422824926268,149.72801435196,"Config(calibration='none', validation_window=120, calibration_strength=0.5, calibration_ridge=25.0, activation_history=180, reversal_weight=0.2, long_reversal_weight=0.075, hysteresis=0.3, hedge_fraction=1.0, hedge_beta_window=120)"
global_stack_v80_s0.25,482.6043529710834,503.20379986639966,1643.7890331512526,4.8402504905960635,291.17283803535656,347.127041086237,127.18706320128456,8,370.6451224426839,143.00759130250918,605.487223124242,106.99623517057188,"Config(calibration='global_stack', validation_window=80, calibration_strength=0.25, calibration_ridge=25.0, activation_history=180, reversal_weight=0.2, long_reversal_weight=0.075, hysteresis=0.3, hedge_fraction=1.0, hedge_beta_window=120)"
global_stack_v80_s0.5,392.4767741275525,415.63519025119956,1596.3560438714949,4.116731608706857,271.8606578332389,332.68167372500665,110.75670342691426,8,282.33239272978267,127.18535315304938,590.3404215912094,30.16739624309582,"Config(calibration='global_stack', validation_window=80, calibration_strength=0.5, calibration_ridge=25.0, activation_history=180, reversal_weight=0.2, long_reversal_weight=0.075, hysteresis=0.3, hedge_fraction=1.0, hedge_beta_window=120)"
global_stack_v80_s0.75,393.3583682908199,416.1076458199996,1582.21430885979,4.158248049058842,298.8945292980708,357.1807975272074,127.18706320128456,8,323.9082986643263,139.46063640530343,514.3439922561013,47.1778674363433,"Config(calibration='global_stack', validation_window=80, calibration_strength=0.75, calibration_ridge=25.0, activation_history=180, reversal_weight=0.2, long_reversal_weight=0.075, hysteresis=0.3, hedge_fraction=1.0, hedge_beta_window=120)"
global_stack_v80_s1.0,319.9567619052299,346.0719950023996,1563.2835851472776,3.5002470089356494,325.25201550255537,347.39944670898245,118.38130952619683,8,291.62651421611776,151.0495814752585,444.6411534180129,9.008938090355244,"Config(calibration='global_stack', validation_window=80, calibration_strength=1.0, calibration_ridge=25.0, activation_history=180, reversal_weight=0.2, long_reversal_weight=0.075, hysteresis=0.3, hedge_fraction=1.0, hedge_beta_window=120)"
global_stack_v120_s0.25,483.123193165671,503.74849588879965,1645.7163695864367,4.839815184231557,307.2896710980128,340.8869322122042,127.18706320128456,8,371.7375326812205,152.5804256191182,607.4482478324768,109.37291901589039,"Config(calibration='global_stack', validation_window=120, calibration_strength=0.25, calibration_ridge=25.0, activation_history=180, reversal_weight=0.2, long_reversal_weight=0.075, hysteresis=0.3, hedge_fraction=1.0, hedge_beta_window=120)"
global_stack_v120_s0.5,427.39279054299874,449.20204921279964,1604.4219277221252,4.4268330561408105,295.6789971791708,333.43708492193963,127.18706320128456,8,324.0657117656994,143.77362014750994,554.6101610560746,67.32623261619815,"Config(calibration='global_stack', validation_window=120, calibration_strength=0.5, calibration_ridge=25.0, activation_history=180, reversal_weight=0.2, long_reversal_weight=0.075, hysteresis=0.3, hedge_fraction=1.0, hedge_beta_window=120)"
global_stack_v120_s0.75,404.14355728240224,426.1244424847997,1571.3075943534288,4.28790584912776,350.47427453636317,367.90274857386754,127.18706320128456,8,328.76504298690315,172.76503357745543,534.1828835252633,66.23598881564826,"Config(calibration='global_stack', validation_window=120, calibration_strength=0.75, calibration_ridge=25.0, activation_history=180, reversal_weight=0.2, long_reversal_weight=0.075, hysteresis=0.3, hedge_fraction=1.0, hedge_beta_window=120)"
global_stack_v120_s1.0,322.4097759473024,350.09116707759955,1621.963261195593,3.412794553237001,250.87521958284313,304.2542159263305,22.77130342864954,8,223.08863407564542,105.07863029642449,460.9479731366205,14.23322765876405,"Config(calibration='global_stack', validation_window=120, calibration_strength=1.0, calibration_ridge=25.0, activation_history=180, reversal_weight=0.2, long_reversal_weight=0.075, hysteresis=0.3, hedge_fraction=1.0, hedge_beta_window=120)"
global_stack_v180_s0.25,459.90072046447307,480.5801680527995,1611.2883644112667,4.715878184562613,282.6586018766597,375.16506682515046,127.18706320128456,8,319.46804640143677,133.66518897684784,611.6273396045536,92.46388395753391,"Config(calibration='global_stack', validation_window=180, calibration_strength=0.25, calibration_ridge=25.0, activation_history=180, reversal_weight=0.2, long_reversal_weight=0.075, hysteresis=0.3, hedge_fraction=1.0, hedge_beta_window=120)"
global_stack_v180_s0.5,448.33491628684595,468.2387662295994,1559.9282891339858,4.746054675675817,282.176697447684,445.3975993318122,127.18706320128456,8,312.6742012805016,126.4317102734602,586.749359083764,108.30087743916543,"Config(calibration='global_stack', validation_window=180, calibration_strength=0.5, calibration_ridge=25.0, activation_history=180, reversal_weight=0.2, long_reversal_weight=0.075, hysteresis=0.3, hedge_fraction=1.0, hedge_beta_window=120)"
global_stack_v180_s0.75,378.53326748502286,403.13746547119945,1625.083740785245,3.9223597191996786,363.76592035718176,406.7438345222039,61.131662554387916,8,302.7453644418532,173.6919736315897,540.6398456404876,69.60877888701626,"Config(calibration='global_stack', validation_window=180, calibration_strength=0.75, calibration_ridge=25.0, activation_history=180, reversal_weight=0.2, long_reversal_weight=0.075, hysteresis=0.3, hedge_fraction=1.0, hedge_beta_window=120)"
global_stack_v180_s1.0,276.74151813028953,308.9890678807992,1667.724541832689,2.929468272745874,217.7360014830764,266.41756810847653,-21.554215164000656,7,163.9365408025238,78.1813127092976,454.89410246723156,12.339367781392392,"Config(calibration='global_stack', validation_window=180, calibration_strength=1.0, calibration_ridge=25.0, activation_history=180, reversal_weight=0.2, long_reversal_weight=0.075, hysteresis=0.3, hedge_fraction=1.0, hedge_beta_window=120)"
target_gate_v80_s0.25,276.32162963643816,306.9622430671998,1616.2042748890751,3.0030233765877266,286.2666533175456,268.0432752291126,-27.676646264000464,7,217.0139251190348,134.58289939459425,448.5953334420697,4.784777386499759,"Config(calibration='target_gate', validation_window=80, calibration_strength=0.25, calibration_ridge=25.0, activation_history=180, reversal_weight=0.2, long_reversal_weight=0.075, hysteresis=0.3, hedge_fraction=1.0, hedge_beta_window=120)"
target_gate_v80_s0.5,276.32162963643816,306.9622430671998,1616.2042748890751,3.0030233765877266,286.2666533175456,268.0432752291126,-27.676646264000464,7,217.0139251190348,134.58289939459425,448.5953334420697,4.784777386499759,"Config(calibration='target_gate', validation_window=80, calibration_strength=0.5, calibration_ridge=25.0, activation_history=180, reversal_weight=0.2, long_reversal_weight=0.075, hysteresis=0.3, hedge_fraction=1.0, hedge_beta_window=120)"
target_gate_v80_s0.75,276.32162963643816,306.9622430671998,1616.2042748890751,3.0030233765877266,286.2666533175456,268.0432752291126,-27.676646264000464,7,217.0139251190348,134.58289939459425,448.5953334420697,4.784777386499759,"Config(calibration='target_gate', validation_window=80, calibration_strength=0.75, calibration_ridge=25.0, activation_history=180, reversal_weight=0.2, long_reversal_weight=0.075, hysteresis=0.3, hedge_fraction=1.0, hedge_beta_window=120)"
target_gate_v80_s1.0,276.32162963643816,306.9622430671998,1616.2042748890751,3.0030233765877266,286.2666533175456,268.0432752291126,-27.676646264000464,7,217.0139251190348,134.58289939459425,448.5953334420697,4.784777386499759,"Config(calibration='target_gate', validation_window=80, calibration_strength=1.0, calibration_ridge=25.0, activation_history=180, reversal_weight=0.2, long_reversal_weight=0.075, hysteresis=0.3, hedge_fraction=1.0, hedge_beta_window=120)"
target_gate_v120_s0.25,124.02803755389785,172.25599519839977,1698.376021954201,1.6036533677012201,235.55967540608808,121.27385698681351,-167.26384477200025,7,144.20845122083216,107.3957933821918,269.57012708122966,-100.05596801600024,"Config(calibration='target_gate', validation_window=120, calibration_strength=0.25, calibration_ridge=25.0, activation_history=180, reversal_weight=0.2, long_reversal_weight=0.075, hysteresis=0.3, hedge_fraction=1.0, hedge_beta_window=120)"
